NAME_a,NAME_b,F0,ZZ,XX,YY,DISC_DATE,R_LUM,R_LUM14
J0535-6935,ckm+01 ,4.9872493,5,mfl+06 ,-26.29,-41.53,1.12,2001,,123.50
B0538-75,mlt+78 ,0.80266124178,4,smd93 ,-0.07,-0.11,8.46,1978,1.47,0.16
J0537-69,rcl+13 ,8.8799527,16,rcl+13 ,-26.14,-41.66,1.33,2013,,
J0537-6910,mgz+98 ,62.0261895958,13,mgm+04 ,-26.15,-41.68,1.48,1998,,0.00
J0538+2817,fcwa95 ,6.985276348019,5,klh+03 ,-0.04,0.01,9.80,1995,13.86,3.21
J0540+3207,cfl+06 ,1.9074109781353,19,nab+13 ,0.02,0.08,9.92,2006,,0.69
B0540-69,shh84 ,19.7746860321,7,fak15 ,-25.98,-41.76,1.35,1984,0.00,59.28
J0540-7125,lml+98 ,0.7775961516,19,dsb+98 ,-0.29,-0.46,8.40,1998,1.51,0.09
J0542-68,rcl+13 ,2.351895,4,rcl+13 ,-25.90,-41.96,2.27,2013,,
B0540+23,dls72 ,4.06545762605,3,hlk+04 ,-0.09,-0.12,10.05,1972,70.57,26.04
J0543-6851,mfl+06 ,1.41052838124,12,mfl+06 ,-25.77,-41.96,1.76,2006,,543.42
J0544+20,dsm+16 ,,0,,-0.10,-0.15,9.77,2016,,
J0545-03,kkl+15 ,0.931159,18,kkl+15 ,-0.58,-0.93,10.25,2015,,
J0546+2441,clm+05 ,0.351635938793,8,clm+05 ,-0.05,-0.10,10.02,2005,6.12,
J0550+09,dsm+16 ,0.573066,0,dsm+16 ,-0.27,-0.52,10.20,2016,,
J0554+3107,pga+13 ,2.15071817570,7,pga+13 ,0.00,0.00,8.50,2013,,
J0555+3948,bck+13 ,0.87191119,16,bck+13 ,0.14,0.16,9.57,2013,,
J0555-7056,mfl+06 ,1.20796568461,11,mfl+06 ,-24.94,-42.13,-0.04,2006,,518.72
J0557+1550,skl+15 ,391.18012787837,8,skl+15 ,-0.14,-0.40,10.28,2015,,0.17
J0557-2948,kmk+18 ,22.91337153767,16,kmk+18 ,-1.74,-3.21,10.71,2018,,
